row_id,order_date,ship_date,ship_mode,customer_name,segment,city,state,region,category,sub_category,sales,quantity,discount,profit,year,shipping_days,ship_status
1,2016-11-08,2016-11-11,Second Class,Claire Gute,Consumer,Henderson,Kentucky,South,Furniture,Bookcases,261.96,2,0.0,41.9136,2016,3,Standard delivery
2,2016-11-08,2016-11-11,Second Class,Claire Gute,Consumer,Henderson,Kentucky,South,Furniture,Chairs,731.94,3,0.0,219.582,2016,3,Standard delivery
3,2016-06-12,2016-06-16,Second Class,Darrin Van Huff,Corporate,Los Angeles,California,West,Office Supplies,Labels,14.62,2,0.0,6.8714,2016,4,Standard delivery
4,2015-10-11,2015-10-18,Standard Class,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,South,Furniture,Tables,957.5775,5,0.45,-383.031,2015,7,Delayed delivery
5,2015-10-11,2015-10-18,Standard Class,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,South,Office Supplies,Storage,22.368,2,0.2,2.5164,2015,7,Delayed delivery
6,2014-06-09,2014-06-14,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,West,Furniture,Furnishings,48.86,7,0.0,14.1694,2014,5,Standard delivery
7,2014-06-09,2014-06-14,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,West,Office Supplies,Art,7.28,4,0.0,1.9656,2014,5,Standard delivery
8,2014-06-09,2014-06-14,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,West,Technology,Phones,907.152,6,0.2,90.7152,2014,5,Standard delivery
9,2014-06-09,2014-06-14,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,West,Office Supplies,Binders,18.504,3,0.2,5.7825,2014,5,Standard delivery
10,2014-06-09,2014-06-14,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,West,Office Supplies,Appliances,114.9,5,0.0,34.47,2014,5,Standard delivery
11,2014-06-09,2014-06-14,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,West,Furniture,Tables,1706.184,9,0.2,85.3092,2014,5,Standard delivery
12,2014-06-09,2014-06-14,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,West,Technology,Phones,911.424,4,0.2,68.3568,2014,5,Standard delivery
13,2017-04-15,2017-04-20,Standard Class,Andrew Allen,Consumer,Concord,North Carolina,South,Office Supplies,Paper,15.552,3,0.2,5.4432,2017,5,Standard delivery
14,2016-12-05,2016-12-10,Standard Class,Irene Maddox,Consumer,Seattle,Washington,West,Office Supplies,Binders,407.976,3,0.2,132.5922,2016,5,Standard delivery
15,2015-11-22,2015-11-26,Standard Class,Harold Pawlan,Home Office,Fort Worth,Texas,Central,Office Supplies,Appliances,68.81,5,0.8,-123.858,2015,4,Standard delivery
16,2015-11-22,2015-11-26,Standard Class,Harold Pawlan,Home Office,Fort Worth,Texas,Central,Office Supplies,Binders,2.544,3,0.8,-3.816,2015,4,Standard delivery
17,2014-11-11,2014-11-18,Standard Class,Pete Kriz,Consumer,Madison,Wisconsin,Central,Office Supplies,Storage,665.88,6,0.0,13.3176,2014,7,Delayed delivery
18,2014-05-13,2014-05-15,Second Class,Alejandro Grove,Consumer,West Jordan,Utah,West,Office Supplies,Storage,55.5,2,0.0,9.99,2014,2,Fast delivery
19,2014-08-27,2014-09-01,Second Class,Zuschuss Donatelli,Consumer,San Francisco,California,West,Office Supplies,Art,8.56,2,0.0,2.4824,2014,5,Standard delivery
20,2014-08-27,2014-09-01,Second Class,Zuschuss Donatelli,Consumer,San Francisco,California,West,Technology,Phones,213.48,3,0.2,16.011,2014,5,Standard delivery
21,2014-08-27,2014-09-01,Second Class,Zuschuss Donatelli,Consumer,San Francisco,California,West,Office Supplies,Binders,22.72,4,0.2,7.384,2014,5,Standard delivery
22,2016-12-09,2016-12-13,Standard Class,Ken Black,Corporate,Fremont,Nebraska,Central,Office Supplies,Art,19.46,7,0.0,5.0596,2016,4,Standard delivery
23,2016-12-09,2016-12-13,Standard Class,Ken Black,Corporate,Fremont,Nebraska,Central,Office Supplies,Appliances,60.34,7,0.0,15.6884,2016,4,Standard delivery
24,2017-07-16,2017-07-18,Second Class,Sandra Flanagan,Consumer,Philadelphia,Pennsylvania,East,Furniture,Chairs,71.372,2,0.3,-1.0196,2017,2,Fast delivery
